p.last_name,p.first_name,r.title
A. Ahene,Nii,Associate Product Manager
Abbott,Rob,"User Experience Architect, Disruptive Innovations"
Ackley,Matt,Vice President - Advertising and Internet Marketing
Agrawal,Ajay,Director
Ahmad,Imran,Mobile Strategy and Operations - PayPal Here
Albert,Don,"Senior Director, Strategic Partnerships"
Ambach,Jim,"Vice President, Seller Experience"
Anand,Siddharth,Senior Software Engineer
Ashkenazi,Amir,"VP, Product Search"
Bajaj,Avnish,"Chairman & Country Manager, India"
Banks,Jordan,"Managing Director, Canada"
Bannick,Matt,"Senior VP, eBay International"
Bannick,Matt,"Vice President, Product & Community"
Bardman,Erik,VP & CFO eBay Marketplaces
Barmeier,Bill,Several senior positions
Barney,Daniel,IT Asset Management
Basso,Nick,"Account Executive, Private Marketplace"
Becker,Helmut,"Senior Director Advertising and Internet Marketing,Senior Director New Business ,Director Corporate Developement"
Beebe,Erik,Infrastructure Architect
Behrendt,Bjorn,Senior Manager leading the Platform Solutions Group
Bellm,Brent,"Director, Corporate Strategy"
Berusch,Alan,"HR. Head, Southeast Asia, Japan, & India"
Bettinelli,Greg,Director
Bheemaraj,Aravinth,Software Development Engineer II
Borenstein,Lorna,VP & General Manager
Bouyea,Lee,Category Manager
Brandenburg,Ole,Marketing Manager
Brigham,Geoff,Deputy General Counsel / VP
Burkhart,Dan,"Director, Global Buyer Engagement"
Byerley,Melinda,Category Manager
Cacurio,Tommaso,"Senior Manager, Seller Marketing"
Calega,Gary,Consumer Electronics Category
Calega,Gary,Seller Acquistion and Development
Canning,Rob,Group Product Manager
Caukin,Jennifer,"Director, PR, Marketplaces"
Chang,Amy,Product Manager - User Acquistion
Chatterjee,Amlan,Senior Staff Engineer
Chen,Steve,Engineering Manager
Chen,Bruce,"Head of Strategy, Taiwan"
Chesney,Rob,"VP, eBay Buyer Experience"
Chesney,Rob,"VP, eBay Motors"
Chesnut,Rob,"Senior Vice President, Trust and Safety"
Chintu,Sudhakar,Tech Lead
Chiu,Kenneth,Sr. Software Engineer
Choy,Ro,"Director, Parts & Accessories"
Cobb,William C.,"President, eBay Marketplaces"
Coglizer,Dave,Sr. Business Development/Category Manager
Collin,Arnaud,"Director, Marketing and CLV"
Cornell,Bill,Director of Product Development
Cornett,Larry,Director
Cypher,Healey,Head of Retail Business Development
Cypher,Healey,Chief of Staff - Global Product Management
Czaja,Jonathan,N/A
Danielsson,Mattias,Director eBay Europe
